kode_costing	job_order	sn_number
BKT0001	001KT0114	1529FDC06732
BKT0002	001KT0114	1529FDC06725
BKT0003	001KT0114	1529FDC06727
BKT0004	001KT0114	1529FDC06726
BKT0005	001KT0114	1529FDC06751
BKT0006	001KT0114	1529FDC06748
BKT0007	001KT0114	1529FDC06759
BKT0008	001KT0114	1529FDC06744
BKT0009	001KT0114	1529FDC06734
BKT0010	001KT0114	1529FDC06749
BKT0011	001KT0114	1529FDC06760
BKT0012	001KT0114	1529FDC06761
BKT0013	005KTATM1115	94-5073-8820
BKT0014	005KTATM1115	83-4642-4190
BKT0015	005KTATM1115	94-5073-8212
BKT0016	005KTATM1115	94-5120-9021
BKT0017	005KTATM1115	94-5073-8252
BKT0018	005KTATM1115	94-4925-1710
BKT0019	005KTATM1115	94-5073-8203
BKT0020	005KTATM1115	94-5073-8201
BKT0021	005KTATM1115	94-5073-8202
BKT0022	005KTATM1115	83-4642-4204
BKT0023	005KTATM1115	83-4642-4229
BKT0024	005KTATM1115	94-4925-1713
BKT0025	005KTATM1115	94-5121-2493
BKT0026	005KTATM1115	94-5121-2487
BKT0027	005KTATM1115	83-4642-4195
BKT0028	005KTATM1115	94-5121-2489
BKT0029	005KTATM1115	94-5073-8823
BKT0030	005KTATM1115	94-4925-1712
BKT0031	005KTATM1115	94-5073-8204
BKT0032	005KTATM1115	94-5073-8253
BKT0033	005KTATM1115	94-5073-8825
BKT0034	005KTATM1115	83-4642-4214
BKT0035	005KTATM1115	94-5073-8227
BKT0036	005KTATM1115	94-5121-2492
BKT0037	005KTATM1115	83-4642-4189
BKT0038	005KTATM1115	94-5073-8200
BKT0039	005KTATM1115	94-5073-8222
BKT0040	005KTATM1115	83-4642-4187
BKT0041	005KTATM1115	83-4642-4202
BKT0042	005KTATM1115	83-4642-4188
BKT0043	005KTATM1115	94-5073-8680
BKT0044	005KTATM1115	94-5073-8211
BKT0045	005KTATM1115	94-5073-8250
BKT0046	005KTATM1115	94-4925-1674
BKT0047	005KTATM1115	94-4925-1691
BKT0048	005KTATM1115	94-4925-1694
BKT0049	005KTATM1115	94-4925-1700
BKT0050	005KTATM1115	94-4925-1707
BKT0051	005KTATM1115	94-4925-1709
BKT0052	005KTATM1115	94-5073-8205
BKT0053	005KTATM1115	94-5073-8206
BKT0054	005KTATM1115	94-5073-8226
BKT0055	005KTATM1115	94-5073-8224
BKT0056	005KTATM1115	94-5073-8221
BKT0057	005KTATM1115	94-5073-8209
BKT0058	005KTATM1115	94-4925-1681
BKT0059	005KTATM1115	94-5073-8251
BKT0060	005KTATM1115	94-5073-8824
BKT0061	005KTATM1115	94-5073-8829
BKT0062	005KTATM1115	94-4925-1680
BKT0063	SWATMBKT1219	94-96428714
BKT0064	SWATMBKT1219	94-96428715
BKT0065	SWATMBKT1219	94-211725
BKT0066	SWATMBKT1219	94-211726
BKT0067	SWATMBKT1219	94-211727
BKT0068	SWATMBKT1219	94-96428748
BKT0069	SWATMBKT1219	94-96428747
BKT0070	SWATMBKT1219	94-96428742
BKT0071	SWATMBKT1219	94-96428744
BKT0072	SWATMBKT1219	94-96428757
BKT0073	SWATMBKT1219	94-96428754
BKT0074	SWATMBKT1219	94-96428758
BKT0075	SWATMBKT1219	94-96428756
BKT0076	SWATMBKT1219	94-96428759
BKT0077	SWATMBKT1219	94-96428761
BKT0078	SWATMBKT1219	94-96428763
BKT0079	SWATMBKT1219	94-96428749
BKT0080	SWATMBKT1219	94-96428772
BKT0081	SWATMBKT1219	94-96428755
BKT0082	SWATMBKT1219	94-96428775
BKT0083	SWATMBKT1219	94-96428743
BKT0084	SWATMBKT1219	94-96428768
BKT0085	SWATMBKT1219	94-96428774
BKT0086	SWATMBKT1219	94-96428770
BKT0087	SWATMBKT1219	94-96428773
BKT0088	SWATMBKT1219	94-96428752
BKT0089	SWATMBKT1219	94-96428760
BKT0090	SWATMBKT1219	94-96428753
BKT0091	25YHABKT2020	H2011D01008
BKT0092	25YHABKT2020	H2011D01007
BKT0093	25YHABKT2020	H2011D01006
BKT0094	25YHABKT2020	H2011D01025
BKT0095	25YHABKT2020	H2011D01010
BKT0096	25YHABKT2020	H2011D01013
BKT0097	25YHABKT2020	H2011D01009
BKT0098	25YHABKT2020	H2011D01010
BKT0099	SWATMBKT1219	94-96428771
BKT0100	25YHABKT2020	
BKT0101	25YHABKT2020	
BKT0102	25YHABKT2020	H2011D01019
BKT0103	25YHABKT2020	
BKT0107	25YHABKT2020	H2011D01013
BKT0108	25YHABKT2020	H2011D01014
BKT0109	25YHABKT2020	H2011D01015
BKT0110	25YHABKT2020	H2011D01003
BKT0111	25YHABKT2020	H2011D01005
BKT0112	25YHABKT2020	H2011D01012
BKT0113	25YHABKT2020	H2011D01001
BKT0114	25YHABKT2020	H2011D01007
