kode_costing	job_order	sn_number
BMM001	001MLK0815/CDM	83-4783-4665
BMM002	001MLK0815/CDM	83-4783-4698
BMM003	001MLK0815	94-4925-1671
BMM004	001MLK0815	83-4642-4231
BMM005	001MLK0815	94-5120-9009
BMM006	001MLK0815	83-4642-4199
BMM007	001MLK0815	83-4642-4823
BMM008	001MLK0815	94-5121-2494
BMM009	001MLK0815	94-4925-1711
BMM010	001MLK0815	94-50732-8828
BMM011	001MLK0815	94-5073-8826
BMM012	001MLK0815	94-5073-8819
BMM013	001MLK0815	94-5073-8830
BMM014	001MLK0815	BM-2017-0006
BMM015	001MLK0815	BM-2017-0005
BMM016	001MLK0815	BM-2017-0003
BMM017	001MLK0815	BM-2017-0004
BMM018	001MLK0815	94-4925-1703
BMM019	001MLK0815	BM-2017-0008
BMM020	001MLK0815	BM-2017-0010
BMM021	001MLK0815	94-5120-8976
BMM022	001MLK0815	94-5073-8819
BMM023	002MLK0715	94-4925-1716
BMM024	002MLK0715	94-4925-1708
BMM025	002MLK0715	94-4925-1669
BMM025	002MLK0715	94-4925-1669
BMM026	002MLK0715	94-4925-1687
BMM028	002MLK0715	94-4925-1695
BMM029	002MLK0715	94-5121-2495
BMM030	002MLK0715	94-5120-8990
BMM031	002MLK0715	94-5121-2488
BMM032	002MLK0715	94-5073-8827
BMM033	002MLK0715	94-5121-2490
BMM034	002MLK0715	94-4891-9472
BMM035	002MLK0715	94-4925-1717
BMM031	002MLK0715	94-5121-2488
BMM037	002MLK0715	94-5073-8998
BMM038	002MLK0715	94-5121-2491
BMM039	002MLK0715	83-4642-4240
BMM040	002MLK0715	94-4925-4456
BMM041	002MLK0715	BM-2017-0009
BMM042	002MLK0715	BM-2017-0007
BMM043	002MLK0715	83-4642-4824
BMM044	002MLK0715	83-4783-4598
BMM045	003MLK1218	BM-2018-0001
BMM046	003MLK1218	BM-2018-0002
BMM047	003MLK1218	BM-2018-0003
BMM048	003MLK1218	BM-2018-0004
BMM049	003MLK1218	BM-2018-0005
BMM050	003MLK1218	BM-2018-0006
BMM051	003MLK1218	BM-2018-0007
BMM052	003MLK1218	BM-2018-009
BMM053	003MLK1218	BM-2018-008
BMM054	003MLK1218	BM-2018-000
