kode_costing	job_order	sn_number
BST001	002ST0114	FDC - 05374
BST002	002ST0114	FDC - 05381
BST003	002ST0114	FDC - 05373
BST004	002ST0114	FDC - 06721
BST005	002ST0114	FDC - 06747
BST006	002ST0114	FDC - 06720
BST007	002ST0114	FDC - 06735
BST008	002ST0114	FDC - 06730
BST009	002ST0114	FDC - 06750
BST010	002ST0114	FDC - 06743
BST011	002ST0114	FDC - 06757
BST012	002ST0114	FDC - 06753
BST013	002ST0114	FDC - 06742
BST014	002ST0114	FDC - 06719
BST015	002ST0114	FDC - 06733
BST016	002ST0114	FDC - 06724
BST017	002ST0114	FDC - 06741
BST018	002ST0114	FDC - 06731
BST019	002ST0114	FDC - 12596
BST020	002ST0114	FDC - 06752
BST021	002ST0114	FDC - 06739
BST022	002ST0114	FDC - 06736
BST023	002ST0114	FDC - 05380
BST024	002ST0114	FDC - 06722
BST025	002ST0114	FDC - 06718
BST026	002ST0114	FDC - 06728
BST027	002ST0114	FDC - 05378
BST028	002ST0114	FDC - 06745
BST029	002ST0114	FDC - 06737
BST030	002ST0114	FDC - 06756
BST031	002ST0114	FDC -  06746
BST032	002ST0114	FDC - 06740
BST033	002ST0114	FDC - 06755
BST034	002ST0114	FDC - 06762
BST035	002ST0114	FDC - 06729
BST036	002ST0114	FDC - 06723
BST037	SLTSWWVR1219	FDC - 05376
BST038	SLTSWWVR1219	FDC - 05377
BST039	SLTSWWVR1219	FDC - 05379
BST040	SLTSWWVR1219	FDC - 06738
BST041	SLTSWWVR1219	FDC - 06763
BST042	SLTSWWVR1219	FDC - 05375
BST043	SLTSWWVR1219	FDC - 06754
BST044	SLTSWWVR1219	FDC - 05382
BST045	001/KIS/BSTATM/III/2016	94 - 50737781
BST046	001/KIS/BSTATM/III/2016	94 - 46203401
BST047	001/KIS/BSTATM/III/2016	94 - 50737785
BST048	001/KIS/BSTATM/III/2016	94 - 50737780
BST049	001/KIS/BSTATM/III/2016	94 - 50737782
BST050	001/KIS/BSTATM/III/2016	94 - 50738664
BST051	001/KIS/BSTATM/III/2016	94 - 50738661
BST052	001/KIS/BSTATM/III/2016	94 - 50738654
BST053	001/KIS/BSTATM/III/2016	94 - 50738657
BST054	001/KIS/BSTATM/III/2016	94 - 49251672
BST055	001/KIS/BSTATM/III/2016	94 - 50738651
BST056	001/KIS/BSTATM/III/2016	94 - 50737777
BST057	12BST19	94 - 211723
BST058	12BST19	94 - 211724
BST059	12BST19	94 - 211722
BST060	12BST19	94 - 96428719
BST061	12BST19	94 - 96428720
BST062	12BST19	94 - 96428718
BST063	12BST19	94 - 96428713
BST064	12BST19	94 - 96428717
BST065	12BST19	94 - 96428712
BST066	12BST19	94 - 96428716
